b	c	x	h	l
0.	0.16	4.630575245073982	1.4113218114220155e-8	5.088629176873256
0.	0.165	4.630575245006164	1.3382508005629034e-8	5.088629177282418
0.	0.17	4.630575244938346	1.2694781391268416e-8	5.088629177691577
0.	0.175	4.630575244870529	1.2046353762000326e-8	5.088629178100736
0.	0.18	4.630575244802711	1.1433950176365202e-8	5.088629178509896
0.	0.185	4.630575244734893	1.0854649743989057e-8	5.088629178919053
0.	0.19	4.630575244667076	1.0305839036905104e-8	5.088629179328215
0.	0.195	4.6305752445992585	9.785172675353285e-9	5.088629179737373
0.	0.2	4.630575244531441	9.290539818143667e-9	5.08862918014653
0.	0.205	4.630575244463624	8.82003556157365e-9	5.088629180555687
0.	0.21	4.630575244395807	8.371936422783257e-9	5.088629180964847
0.	0.215	4.630575244327989	7.944679242196878e-9	5.088629181374004
0.	0.22	4.6305752442601715	7.536842969377227e-9	5.088629181783159
0.	0.225	4.6305752441923556	7.147132913894003e-9	5.088629182192318
0.	0.23	4.630575244124538	6.774366841652021e-9	5.088629182601474
0.	0.235	4.63057524405672	6.4174632472938986e-9	5.08862918301063
0.	0.24	4.630575243988903	6.075430735718952e-9	5.088629183419784
0.	0.245	4.630575243921087	5.747358785529468e-9	5.088629183828944
0.	0.25	4.6305752438532695	5.432409762948695e-9	5.088629184238099
0.	0.255	4.630575243785453	5.129811794188252e-9	5.088629184647253
0.	0.26	4.630575243717635	4.8388522732585466e-9	5.088629185056407
0.	0.265	4.630575243649819	4.558872415651263e-9	5.0886291854655665
0.	0.27	4.630575243582002	4.289262237741889e-9	5.088629185874721
0.	0.275	4.630575243514185	4.0294561177012125e-9	5.088629186283876
0.	0.28	4.630575243446367	3.77892883423023e-9	5.08862918669303
0.	0.285	4.6305752433785505	3.5371920656036237e-9	5.0886291871021845
0.	0.29	4.630575243310734	3.303791041867539e-9	5.088629187511339
0.	0.295	4.630575243242917	3.07830195801838e-9	5.088629187920494
0.	0.3	4.630575243175101	2.860329195189256e-9	5.0886291883296515
0.	0.305	4.630575243107284	2.649503136644663e-9	5.088629188738808
0.	0.31	4.630575243039466	2.4454779504705755e-9	5.08862918914796
0.	0.315	4.63057524297165	2.2479298128694766e-9	5.088629189557116
0.	0.32	4.630575242903833	2.0565550525365074e-9	5.088629189966271
0.	0.325	4.6305752428360165	1.8710687452346607e-9	5.088629190375423
0.	0.33	4.6305752427682	1.6912032869377382e-9	5.088629190784579
0.	0.335	4.630575242700383	1.5167069698439815e-9	5.088629191193733
0.	0.34	4.630575242632567	1.3473429190616796e-9	5.088629191602888
0.	0.345	4.63057524256475	1.1828880135004963e-9	5.0886291920120446
0.	0.35	4.630575242496933	1.0231317948255098e-9	5.088629192421196
0.	0.355	4.630575242429116	8.67875791296619e-10	5.088629192830351
0.	0.36	4.630575242361299	7.16932471765069e-10	5.088629193239505
0.	0.365	4.6305752422934825	5.701246222989971e-10	5.088629193648657
0.	0.37	4.6305752422256665	4.2728452724230755e-10	5.0886291940578126
0.	0.375	4.630575242157849	2.882535515042904e-10	5.0886291944669635
0.	0.38	4.630575242090033	1.528812834418211e-10	5.0886291948761215
0.	0.385	4.630575242022216	2.1025177673719046e-11	5.0886291952852725
0.	0.39	4.630575241954399	-1.0744996256829727e-10	5.088629195694427
0.	0.395	4.630575241886582	-2.3267256903329372e-10	5.088629196103579
0.	0.4	4.630575241818766	-3.5476459911288513e-10	5.088629196512735
0.	0.405	4.630575241750949	-4.738420004969609e-10	5.0886291969218895
0.	0.41	4.630575241683133	-5.900150648638066e-10	5.088629197331045
0.	0.415	4.630575241615316	-7.033887804224957e-10	5.088629197740193
0.	0.42	4.6305752415475	-8.140631007942606e-10	5.08862919814935
0.	0.425	4.630575241479683	-9.221333107678313e-10	5.088629198558504
0.	0.43	4.630575241411867	-1.0276902402030472e-9	5.088629198967656
0.	0.435	4.63057524134405	-1.1308205883697258e-9	5.088629199376812
0.	0.44	4.630575241276233	-1.2316070460536821e-9	5.088629199785964
0.	0.445	4.630575241208416	-1.3301286223815856e-9	5.088629200195115
0.	0.45	4.6305752411406	-1.4264608336979256e-9	5.088629200604272
0.	0.455	4.630575241072783	-1.5206758464628046e-9	5.088629201013423
0.	0.46	4.630575241004967	-1.6128426976803775e-9	5.088629201422577
0.	0.465	4.630575240937151	-1.703027473866247e-9	5.088629201831734
0.	0.47	4.630575240869334	-1.7912934079656866e-9	5.088629202240884
0.	0.475	4.630575240801517	-1.877701106264187e-9	5.088629202650037
0.	0.48	4.630575240733701	-1.96230863100448e-9	5.088629203059189
0.	0.485	4.630575240665884	-2.045171673505464e-9	5.088629203468345
0.	0.49	4.630575240598068	-2.1263436283204926e-9	5.088629203877497
0.	0.495	4.630575240530251	-2.2058757408023994e-9	5.088629204286651
0.	0.5	4.630575240462434	-2.283817206295212e-9	5.0886292046958035
0.01	0.	4.641495441035367	0.9999992154507265	5.115918202600867
0.01	0.005	4.630575583851509	0.00001931850869315373	5.088628931837333
0.01	0.01	4.630575259928824	7.320049717707088e-7	5.088629155417929
0.01	0.015	4.630575253522713	3.6826045736692404e-7	5.088629160194088
0.01	0.02	4.63057525128666	2.438288717695391e-7	5.088629162097126
0.01	0.025	4.630575250124014	1.8099849105959234e-7	5.088629163260595
0.01	0.03	4.630575249395833	1.4310126249386137e-7	5.08862916412473
0.01	0.035	4.63057524888632	1.1775297961469283e-7	5.088629164838208
0.01	0.04	4.630575248502289	9.960600871466843e-8	5.088629165465225
0.01	0.045	4.630575248196919	8.597326170583551e-8	5.0886291660380465
0.01	0.05	4.630575247944107	7.53566411863897e-8	5.08862916657466
0.01	0.055	4.630575247728147	6.68549047322973e-8	5.0886291670858785
0.01	0.06	4.630575247539024	5.989335086758839e-8	5.08862916757861
0.01	0.065	4.630575247370053	5.408821024602585e-8	5.088629168057456
0.01	0.07	4.630575247216595	4.917343488152675e-8	5.088629168525614
0.01	0.075	4.630575247075337	4.4958774741685924e-8	5.088629168985366
0.01	0.08	4.630575246943846	4.130457820788562e-8	5.088629169438389
0.01	0.085	4.630575246820295	3.810601980491765e-8	5.088629169885943
0.01	0.09	4.630575246703284	3.528288142920139e-8	5.0886291703289865
